所属板块,板块涨跌幅,主力净流入,主力净流入占比,资金排名,板块资金标签,隔夜建议,板块股票数,板块上涨数,板块平均涨跌幅,龙头涨幅,板块广度,板块近5日平均涨幅,板块近5日样本数,板块近5日排名,板块当日资金排名,板块数据状态,生成时间,板块轮动状态,板块操作建议,DS盘面判断,DS操作指引,DS风险提示,DS固定持仓提示,DS状态
油品石化贸易,0.49,3580651.0,2.25,122,资金流入,优先观察,7,1,-3.12,0.86,14.29,-0.74,7,61,122,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
合成树脂,0.95,2855444.0,0.22,126,资金流入,优先观察,13,1,-3.19,0.34,7.69,-1.41,13,84,126,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
生活用纸,0.54,2842683.0,1.67,127,资金流入,优先观察,9,2,-0.29,6.49,22.22,-0.22,9,52,127,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
综合,1.06,2731810.0,0.18,131,资金流入,优先观察,16,0,-2.46,-0.95,0.0,-3.46,16,150,131,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
特钢Ⅱ,1.61,1691492.0,0.47,139,资金流入,优先观察,13,0,-2.03,-0.25,0.0,0.99,13,37,139,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
大宗用纸,0.41,1537312.0,0.48,140,资金流入,优先观察,10,3,-1.78,2.29,30.0,0.63,10,42,140,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
其他能源发电,1.15,1432208.0,6.06,143,资金流入,优先观察,2,0,-1.12,-0.29,0.0,4.11,2,14,143,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
公用事业,1.44,1358480.0,0.01,144,资金流入,优先观察,104,62,1.22,10.04,59.62,4.5,104,11,144,强,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
成品家居,1.21,1148366.0,0.32,147,资金流入,优先观察,13,3,-2.04,1.77,23.08,-2.9,13,135,147,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
其他家电Ⅱ,0.88,813869.0,3.11,150,资金流入,优先观察,3,0,-3.14,-1.33,0.0,-5.55,3,192,150,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
其他纺织,0.86,541221.0,0.26,152,资金流入,优先观察,15,4,-2.3,1.29,26.67,-6.31,15,196,152,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
光伏电池组件,1.52,46408.0,0.0,158,资金流入,优先观察,19,3,-1.52,4.56,15.79,-3.24,19,145,158,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
照明设备Ⅱ,0.26,-483075.0,-0.23,163,资金流出,涨但资金未跟，谨慎,11,5,-0.11,6.47,45.45,0.84,11,40,163,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
畜禽饲料,0.95,-498885.0,-0.25,164,资金流出,涨但资金未跟，谨慎,9,2,-2.39,0.95,22.22,-1.3,9,80,164,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
其他专业服务,-0.1,-566256.0,-1.82,167,资金流出,资金未去，避免隔夜,3,2,2.15,8.51,66.67,0.09,3,49,167,回避,2026-09-07 09:26:20,资金流出,降权回避,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
线下药店,1.18,-573729.0,-0.22,168,资金流出,涨但资金未跟，谨慎,8,2,-0.55,2.38,25.0,-2.99,8,138,168,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
公路货运,0.43,-698638.0,-1.02,170,资金流出,涨但资金未跟，谨慎,4,0,-2.11,-1.62,0.0,-2.13,4,104,170,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
印刷,0.31,-714318.0,-2.05,171,资金流出,涨但资金未跟，谨慎,4,0,-3.5,-2.25,0.0,-6.27,4,195,171,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
纺织鞋类制造,0.93,-1048741.0,-5.26,175,资金流出,涨但资金未跟，谨慎,1,1,0.54,0.54,100.0,-2.07,1,99,175,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
房地产综合服务,0.58,-1372699.0,-13.5,177,资金流出,涨但资金未跟，谨慎,1,0,-1.61,-1.61,0.0,-3.43,1,149,177,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
旅游及景区,0.8,-1385800.0,-0.24,178,资金流出,涨但资金未跟，谨慎,16,5,-0.59,1.55,31.25,-0.87,16,63,178,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
个护小家电,0.12,-1439975.0,-2.93,180,资金流出,涨但资金未跟，谨慎,3,1,-3.16,2.86,33.33,-9.46,3,200,180,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
锦纶,0.43,-1565096.0,-2.58,182,资金流出,涨但资金未跟，谨慎,5,0,-3.85,-1.91,0.0,-4.58,5,181,182,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
光伏设备,1.06,-1845552.0,-0.03,184,资金流出,涨但资金未跟，谨慎,29,9,-0.21,11.47,31.03,-2.1,29,103,184,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
肉制品,1.03,-1957907.0,-0.5,187,资金流出,涨但资金未跟，谨慎,6,1,-1.16,0.65,16.67,-4.55,6,179,187,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
动物保健Ⅱ,0.3,-1968763.0,-1.2,188,资金流出,涨但资金未跟，谨慎,9,0,-2.07,-0.79,0.0,-4.89,9,187,188,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
其他医疗服务,0.7,-2485852.0,-2.21,192,资金流出,涨但资金未跟，谨慎,3,0,-2.88,-1.82,0.0,-4.18,3,172,192,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
纺织服装设备,0.64,-2954496.0,-0.42,196,资金流出,涨但资金未跟，谨慎,11,4,-1.3,2.65,36.36,-2.08,11,100,196,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
纺织服饰,0.17,-3107263.0,-0.1,197,资金流出,涨但资金未跟，谨慎,21,1,-2.08,3.19,4.76,-4.14,21,171,197,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
体育Ⅱ,0.6,-3148259.0,-3.21,198,资金流出,涨但资金未跟，谨慎,2,0,-3.13,-2.38,0.0,-5.11,2,190,198,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
定制家居,0.3,-3171390.0,-1.35,200,资金流出,涨但资金未跟，谨慎,14,2,-2.14,1.04,14.29,-4.62,14,183,200,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
洗护用品,0.06,-3321108.0,-6.37,201,资金流出,涨但资金未跟，谨慎,4,0,-1.48,0.0,0.0,-4.42,4,178,201,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
餐饮,0.09,-3342024.0,-3.48,203,资金流出,涨但资金未跟，谨慎,3,1,-0.71,0.61,33.33,-1.25,3,76,203,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
厨房电器,-0.16,-3940671.0,-1.8,206,资金流出,资金未去，避免隔夜,5,0,-3.66,-1.81,0.0,-6.26,5,194,206,回避,2026-09-07 09:26:20,资金流出,降权回避,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
厨卫电器,0.1,-4514890.0,-1.78,212,资金流出,涨但资金未跟，谨慎,3,0,-2.89,-1.2,0.0,-4.18,3,172,212,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
学历教育,-0.76,-4606057.0,-3.83,213,资金流出,资金未去，避免隔夜,2,0,-2.64,-2.42,0.0,-4.67,2,184,213,回避,2026-09-07 09:26:20,资金流出,降权回避,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
医药流通,0.53,-4660281.0,-0.77,214,资金流出,涨但资金未跟，谨慎,21,4,-0.25,19.98,19.05,-1.08,21,68,214,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
人力资源服务,1.92,-4847985.0,-6.42,215,资金流出,涨但资金未跟，谨慎,3,0,-2.49,-1.66,0.0,-4.19,3,174,215,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
旅游综合,0.63,-4855292.0,-3.32,216,资金流出,涨但资金未跟，谨慎,6,1,-0.8,2.61,16.67,0.86,6,39,216,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
钴,-1.99,-5241773.0,-3.05,222,资金流出,资金未去，避免隔夜,2,0,-1.1,-0.55,0.0,-2.82,2,134,222,回避,2026-09-07 09:26:20,资金流出,降权回避,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
会展服务,-3.15,-5261860.0,-1.71,223,资金流出,资金未去，避免隔夜,3,1,-2.95,0.39,33.33,4.13,3,13,223,回避,2026-09-07 09:26:20,资金流出,降权回避,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
多业态零售,1.0,-6480753.0,-2.27,229,资金流出,涨但资金未跟，谨慎,14,1,-2.15,0.88,7.14,-2.57,14,121,229,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
水产养殖,1.25,-7114952.0,-7.7,234,资金流出,涨但资金未跟，谨慎,4,0,-1.44,-0.92,0.0,-2.42,4,116,234,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
渔业,1.02,-7626584.0,-7.0,237,资金流出,涨但资金未跟，谨慎,2,0,-1.79,-1.76,0.0,-3.71,2,156,237,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
电商服务,-0.51,-7720360.0,-1.83,238,资金流出,资金未去，避免隔夜,8,4,0.49,7.1,50.0,4.64,8,9,238,回避,2026-09-07 09:26:20,资金流出,降权回避,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
